Skills,Developer,Permission,Traceability,Category,sub-category,Account Linking,customer reviews,Rating,Cost
Starting player,by Bruni Michele,['Given Name'],b,Games & Trivia,Game Info & Accessories,,No customer reviews,,Free to Enable
Casino Royal,by CompAces,['Device Address'],b,Games & Trivia,Games,,,2.4 out of 5 stars,Free to Enable
Cricket Fever,by Hannan Satopay,"['Full Name', 'Email Address']",b,Games & Trivia,Games,,No customer reviews,5.0 out of 5 stars,Free to Enable
Dream11,by Dream11 Fantasy Pvt Ltd,"['Full Name', 'Email Address', 'Mobile Number']",b,Games & Trivia,Games,,No customer reviews,4.1 out of 5 stars,Free to Enable
Fact or Fiction Quiz,by Apscot,"['Email Address', 'Full Name']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Infinity Game,by Invoke Genie,['Full Name'],b,Games & Trivia,Games,,No customer reviews,5.0 out of 5 stars,Free to Enable
Khel Khazana,by Shweta Mishra,"['Full Name', 'Email Address']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Loop It!,by SoapVox,['Email Address'],b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Mythology Guru,by Invoke Genie,['Full Name'],b,Games & Trivia,Games,Account linking required,No customer reviews,,Free to Enable
One Million,by Matt Kruse,['Full Name'],b,Games & Trivia,Games,,,,4.6 out of 5 stars
OnePlus,by Winimy Pte. Ltd.,"['Full Name', 'Email Address', 'Mobile Number']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Periodic Table Whizz,by Invoke Genie,['Full Name'],b,Games & Trivia,Games,,,4.1 out of 5 stars,Free to Enable
Redmi Note,by Winimy Pte. Ltd.,"['Full Name', 'Email Address', 'Mobile Number']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Rhyme Time,by Ashish Jha,"['Full Name', 'Email Address']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
Speed Tap,by Matt Kruse,['Full Name'],b,Games & Trivia,Games,,,,3.6 out of 5 stars
Sweepstakes4you - take part now & win immediately,by blueShepherd GmbH,"['Full Name', 'Email Address']",b,Games & Trivia,Games,,No customer reviews,3.9 out of 5 stars,Free to Enable
Technical SEO Expert,by Alexis Sanders Co,['Lists Read Access'],b,Games & Trivia,Games,,No customer reviews,,
Townsmith: Fame or Fortune,by Digital Hokum,['Device Address'],b,Games & Trivia,Games,Account linking required,,5.0 out of 5 stars,Free to Enable
Trivia Quest,by Invoke Genie,['Full Name'],b,Games & Trivia,Games,Account linking required,No customer reviews,,Free to Enable
Word Jumble,"by S4 Technology, Inc.","['Alexa Notifications', 'First Name']",b,Games & Trivia,Games,,No customer reviews,,Free to Enable
About Jeremy,by cognizant,"['Lists Read Access', 'Lists Write Access']",b,Games & Trivia,Knowledge & Trivia,,,3.6 out of 5 stars,Free to Enable
City Facts,by Sanjay,['Device Address'],b,Games & Trivia,Knowledge & Trivia,,No customer reviews,,Free to Enable
Pricentric genie,by vijay kumbhar,['Email Address'],b,Games & Trivia,Knowledge & Trivia,,,No customer reviews,
World History Game,by Invoke Genie,['Full Name'],b,Games & Trivia,Knowledge & Trivia,,No customer reviews,,Free to Enable
Allergy Forecast,by Omar Elprince,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,,3.5 out of 5 stars
Ask Apollo,by Apollo Hospitals,['Device Address'],b,Health & Fitness,Health & Fitness,Account linking available,No customer reviews,,Free to Enable
Begin Today,"by Fulness, Inc",['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,Account linking required,,5.0 out of 5 stars
Colgate Pocket Dentist,by Colgate Palmolive,"['Device Country and Postal Code', 'Lists Read Access', 'Lists Write Access']",b,Health & Fitness,Health & Fitness,Account linking required,,4.0 out of 5 stars,Free to Enable
Cooey Health Monitoring,by Cooey,"['Lists Write Access', 'Lists Read Access', 'Device Address']",b,Health & Fitness,Health & Fitness,,,3.5 out of 5 stars,Free to Enable
Daily Yoga,by Siva Pandeti,['Device Country and Postcode'],b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Flu Doctor,by Boston Children's Hospital,['Device Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,4.4 out of 5 stars,Free to Enable
Flu Season,by Joseph Macaulay,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,,1.0 out of 5 stars
Fortis,by Fortis Healthcare Limited,"['Device Country and Postal Code', 'Full Name', 'Email Address', 'Mobile Number', 'Reminders']",b,Health & Fitness,Health & Fitness,,,5.0 out of 5 stars,Free to Enable
Greater Philadelphia Health Action,by UnitedHealthcare,"['Device Country and Postal Code', 'Full Name', 'Email Address', 'Mobile Number']",b,Health & Fitness,Health & Fitness,,,5.0 out of 5 stars,Free to Enable
Health Knowledge,by Aman Raj,['Location Services'],b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Illuminate Auto Attendant,by Illuminate QB,['Device Address'],b,Health & Fitness,Health & Fitness,,,4.7 out of 5 stars,Free to Enable
IntelaCare  - Brain Coach,by IntelaCare,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,No customer reviews,
Keck Medicine of USC,by UnitedHealthcare,"['Device Country and Postal Code', 'Full Name', 'Email Address', 'Mobile Number']",b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Mediktor,by Teckel Solutions S.L.,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,,5.0 out of 5 stars
Milky Baby,by Cristian Penarrieta,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,No customer reviews,5.0 out of 5 stars
My Weight Loss Coach,by RAK,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,,2.5 out of 5 stars
nib,by nib Health Funds,"['Device Address', 'Mobile Number']",b,Health & Fitness,Health & Fitness,,No customer reviews,4.6 out of 5 stars,Free to Enable
NIH Stroke Scale,by Default User,['Email Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Novant Health,by Novant Health,"['Device Address', 'Full Name']",b,Health & Fitness,Health & Fitness,,,,5.0 out of 5 stars
OhioHealth,by OhioHealth,['Device Address'],b,Health & Fitness,Health & Fitness,,,,5.0 out of 5 stars
Pollution Meter,by Sahil Narain,['Device Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,,
PRICENTRIC,by vijay kumbhar,['Email Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Registro de Tensión Arterial,by miplaneta.com,['Email Address'],b,Health & Fitness,Health & Fitness,,,No customer reviews,4.0 out of 5 stars
Sneeze Forecast,by Jangi,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,No customer reviews,
Sutter Health,by Sutter Health,['Device Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,4.0 out of 5 stars,Free to Enable
Sweaty McSweaterson,by edm00se,['Device Country and Postal Code'],b,Health & Fitness,Health & Fitness,,,5.0 out of 5 stars,Free to Enable
Talktor,"by Talktor, Inc.","['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",b,Health & Fitness,Health & Fitness,,No customer reviews,5.0 out of 5 stars,Free to Enable
Ultrasignup,by mtnrunr,['Device Address'],b,Health & Fitness,Health & Fitness,,,No customer reviews,
Workout Planner,by Drawrz.com,"['Lists Read Access', 'Lists Write Access']",b,Health & Fitness,Health & Fitness,,,,2.1 out of 5 stars
Bath Bins,by ant kennedy,['Device Address'],b,Home Services,Home Services,Account linking required,,3.9 out of 5 stars,Free to Enable
Carmarthenshire Bin Day,by chrispc,['Device Address'],b,Home Services,Home Services,,No customer reviews,,Free to Enable
Durham UK - Bin Day,by Home,['Device Address'],b,Home Services,Home Services,Account linking required,,4.8 out of 5 stars,Free to Enable
Harrow Council,by Harrow Council,['Device Address'],b,Home Services,Home Services,,No customer reviews,,Free to Enable
Newcastle UK - Bin Day,by Home,['Device Address'],b,Home Services,Home Services,,,3.4 out of 5 stars,
Stockton UK - Bin Day,by Home,['Device Address'],b,Home Services,Home Services,Account linking required,,3.1 out of 5 stars,Free to Enable
Great Christmas Treasure: Story Theater Enabled,by Richard Carlson,"['Lists Read Access', 'Lists Write Access']",b,Kids,Education & Reference,,,No customer reviews,
Pixated Salat,by pixated ltd,"['Reminders', 'Location Services']",b,Knowledge & Trivia,Knowledge & Trivia,,No customer reviews,,Free to Enable
Panchang,by Ram,['Device Address'],b,Lifestyle,Astrology,,No customer reviews,,Free to Enable
robo priest,by Rama Krishna Ponnala,['Full Name'],b,Lifestyle,Astrology,,No customer reviews,,Free to Enable
Ticketmaster,by Ticketmaster L.L.C.,['Device Country and Postal Code'],b,Lifestyle,Event Finders,,No customer reviews,,Free to Enable
Sport Clips,by Sport Clips,['Location Services'],b,Lifestyle,Fashion & Style,,No customer reviews,,Free to Enable
Austin Resource Recovery Pickup Schedule,by Kyle Croft,['Device Address'],b,Lifestyle,Home Services,,No customer reviews,1.0 out of 5 stars,Free to Enable
Bro4U,by Bro4U,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,,4.7 out of 5 stars,
Calgary Bins,by Martin Zardecki,['Device Address'],b,Lifestyle,Home Services,,,3.5 out of 5 stars,Free to Enable
help me move home,by Tili Group,"['Full Name', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,,3.7 out of 5 stars,Free to Enable
Home Fax,by Homes For Sale Near Me,"['Device Address', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
How Much Is My Home Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,,No customer reviews,5.0 out of 5 stars,Free to Enable
How Much Is My House Worth,by GanToi,['Device Address'],b,Lifestyle,Home Services,Account linking available,No customer reviews,,Free to Enable
How Much Is My House Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,Account linking available,No customer reviews,,Free to Enable
Mi Despensa,by J.I. Riaño,"['Email Address', 'Alexa Notifications']",b,Lifestyle,Home Services,,,No customer reviews,
Mi Despensa,by J.I. RiaÒo,"['Email Address', 'Alexa Notifications']",b,Lifestyle,Home Services,,,No customer reviews,
mission pest control,by 1993,"['Full Name', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
ownr-skill,by Ravikant Thakur,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
Seattle Curb It,by Phillip Donate,['Device Address'],b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
Taylor Morrison,by Taylor Morrison,"['Full Name', 'Email Address', 'Mobile Number']",b,Lifestyle,Home Services,,,3.7 out of 5 stars,Free to Enable
What Is My Home Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,,,5.0 out of 5 stars,Free to Enable
What Is My House Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
What's My Home Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,,,2.3 out of 5 stars,Free to Enable
What's My House Worth,by Homes For Sale Near Me,['Device Address'],b,Lifestyle,Home Services,,No customer reviews,,Free to Enable
Daily Fashion Advice,by Kuttle,['Location Services'],b,Lifestyle,Lifestyle,,No customer reviews,,Free to Enable
Helping Hand,by Goldenmace IT Solutions,['Email Address'],b,Lifestyle,Lifestyle,Account linking required,,5.0 out of 5 stars,Free to Enable
LBB,by lbb.in,['Device Address'],b,Lifestyle,Lifestyle,,,3.7 out of 5 stars,Free to Enable
My Savings Lord,by Fante,['Email Address'],b,Lifestyle,Lifestyle,,No customer reviews,3.0 out of 5 stars,Free to Enable
Obstacle Rangers,by Martin Priebe,['Email Address'],b,Lifestyle,Lifestyle,,,4.0 out of 5 stars,Free to Enable
Pet Feeder,by Shreyas Shrawage,['Device Country and Postal Code'],b,Lifestyle,Pets & Animals,,No customer reviews,,Free to Enable
Islamic Prayer Times,by Rafi Ahmad,['Device Country and Postcode'],b,Lifestyle,Religion & Spirituality,,No customer reviews,,Free to Enable
My Catholic Radio by Ave Maria Radio,"by FutureSoft, Inc.",['Device Country and Postcode'],b,Lifestyle,Religion & Spirituality,,,3.4 out of 5 stars,Free to Enable
Namaz Time,by Arshad,['Device Country and Postal Code'],b,Lifestyle,Religion & Spirituality,,,3.0 out of 5 stars,Free to Enable
Ramadan Time,by Arshad,['Device Country and Postcode'],b,Lifestyle,Religion & Spirituality,,,5.0 out of 5 stars,Free to Enable
Ramzan Time,by Arshad,['Device Country and Postal Code'],b,Lifestyle,Religion & Spirituality,,No customer reviews,,Free to Enable
Salah Explorer,by QuranExplorer,['Device Address'],b,Lifestyle,Religion & Spirituality,,No customer reviews,,Free to Enable
Salah Time,by Arshad,['Device Country and Postcode'],b,Lifestyle,Religion & Spirituality,,No customer reviews,5.0 out of 5 stars,Free to Enable
Shabbos Times,by Eliav Hamburger,['Device Address'],b,Lifestyle,Religion & Spirituality,,No customer reviews,1.0 out of 5 stars,Free to Enable
Kindness Counts,by RAK,"['Device Address', 'Reminders']",b,Lifestyle,Self Improvement,Account linking required,,4.1 out of 5 stars,Free to Enable
My IT Services,by Bhaskar,['Email Address'],b,Lifestyle,Self Improvement,,No customer reviews,,Free to Enable
Movie Consultant,by Stefano Ciceri,"['Lists Read Access', 'Lists Write Access']",b,Movie Info & Reviews,Movie Info & Reviews,,,5.0 out of 5 stars,Free to Enable
El videoclub,by tousled,"['First Name', 'Alexa Notifications']",b,Movies & TV,Movie Info & Reviews,,,No customer reviews,4.0 out of 5 stars
Night Out,by Amazon Alexa,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number', 'Amazon Pay']",b,Movies & TV,Movie Showtimes,Account linking required,No customer reviews,,Free to Enable
