Permission,Sentence,Similarities_Score
Amazon Pay,we encrypt transmission of data on pages where you provide payment information.,1
Amazon Pay,please review our third party payment processorâ€™s privacy policy and terms of use prior to submitting your payment information.,1
Amazon Pay,"our third party payment processor will collect and may retain your credit card information in order to process your payment, including payment for your purchases of products or for recurring annual service charges.",1
Amazon Pay,"for example, we process your payment information when you buy extra storage for google drive.",1
Amazon Pay,you can also choose to add a phone number or payment information to your account.,1
Amazon Pay,"personally identifiable information (â€œ pii â€) refers to the information that lets us know the specifics of who you are, such as your name, preferred contact details, your payment information, and other personal identifiers (such as a phone number).",1
Amazon Pay,"such staff may be engaged in, amongst other things, the processing of your payment details and the provision of support services.",1
Amazon Pay,We collect financial data includes bank account and payment card details.,1
Amazon Pay,"We collect photos, video footage with your likeness, audio recordings, payment card number, criminal record, educational and professional records, and any form of biometric, health, genetic, racial, religion, political affiliation, gender-based, sexual preference, age-related, or other identifying personal data.",1
Amazon Pay,"anyone who has administrative privileges to devices you use, location or gps/geolocation, mobile number, your email address, user name, passwords, and financial or payment information).",1
Amazon Pay,"the personal data collected to complete the payment may include the credit card, the bank account used for the transfer, or any other means of payment envisaged.",1
Amazon Pay,"this may include your name, address, phone number, email address and payment details.",1
Amazon Pay,"this privacy policy applies to all of the services offered by sextant navigation, inc. and describes what we collect, use, share and store (i.e., information such as your email address, payment information if any).",1
Amazon Pay,"payment information, such as your payment card number and expiration date.",1
Amazon Pay,"for purchases, We collect payment information, including credit/debit card number/bank details and billing addresses are also collected.",1
Amazon Pay,"who we share your personal data with  sometimes, we use external organisations to process personal data on our behalf â€“ for example suppliers and subcontractors, payment providers, mailing houses, legacy administrators and external fundraising entities and platforms.",1
Amazon Pay,We collect payment details (such as credit or debit cards),1
Amazon Pay,"such staff maybe engaged in, among other things, the fulfilment of your order, the processing of your payment details and the provision of support services.",1
Amazon Pay,"if you choose to pay a fee to us to unlock features of the voice app, we may receive your name, payment details, email address, geographical address.",1
Amazon Pay,"however, you may be offered the opportunity to provide us with a name, email address, geographical address and payment details.",1
Amazon Pay,"financial information â€“ tracfone collects credit card information, including account number, card holder name and address for payment of products and services purchased by customers.",1
Amazon Pay,"these types of data may include, for example, contact information, communications and payment data, or marketing data.",1
Amazon Pay,"additionally, pinterest also states that it collects user location data from mobile devices, and if someone makes a purchase on pinterest, payment and contact information â€“ including an address and phone number â€“ will be collected.",1
Amazon Pay,"if you acquired this skill via a first-party skills store, your payment data is managed exclusively by that marketplace.",1
Amazon Pay,"We collect payment information (credit card information, etc.)",1
Amazon Pay,"we collect data necessary to process your payment if you make a purchase, including your payment instrument number (such as a credit card number), and the security code associated with your payment instrument.",1
Amazon Pay,"by providing your billing information, you acknowledge and agree to use of such information by the third party service provider for purposes of processing your payment to us.",1
Amazon Pay,"such staff may be engaged in, among other things, the fulfilment of your order, the processing of your payment details and the provision of support services.",1
Amazon Pay,"we will share transaction data with our payment services providers only to the extent necessary for the purposes of processing your payments, refunding such payments and dealing with complaints and queries relating to such payments and refunds.",1
Amazon Pay,We collect your payment data.,1
Amazon Pay,"other information that may be requested includes detail  pertaining to the physical location of your vehicle, the final  destination and payment information necessary to process your  request.",1
Amazon Pay,"our payment processor shares your  payment information with associated banks and other entities to process payments, as well as for fraud prevention and credit risk reduction.",1
Amazon Pay,"our third party payment processor collects this information for us and uses it only to complete your transaction, or store your payment information if you choose to enable that function.",1
Amazon Pay,"for example, if you became a paying member on january 31st, your payment method would next be billed on february 28th.",1
Amazon Pay,you represent and warrant that you have the legal right to use the payment method you provide.,1
Amazon Pay,"as used in this tos, ""billing"" shall indicate a charge against your payment method associated with your account.",1
Amazon Pay,the kind of data collected by this application depends on the payment system used.,1
Amazon Pay,"online  the personal data collected are used to provide the user with services or to sell goods, including payment and possible delivery.",1
Amazon Pay,"We collect payment data , such as credit card information and billing address.",1
Amazon Pay,We collect payment processing information  ,1
Amazon Pay,"you agree that we may use any credit, or debit card of yours that we have on file for payment of such charges.",1
Amazon Pay,"if we do any of these things, you agree to pay any charges associated with these requests.",1
Amazon Pay,failure to comply with the payment obligations in this agreement may result in suspension or termination of your account and inability to access the connected services.,1
Amazon Pay,"unless the connected services are cancelled by you or us as allowed by this agreement, we will continue to charge the payment account you provided, or a substitute account provided by you or your card issuer unless or until your service plan is cancelled by you or by us as allowed under section 3.",1
Amazon Pay,"sensitive information will be processed for the purposes provided above  legal requirement: sensitive information will be processed to provide reasonable accommodations and to administer fmla and sick leave policies    to process visa applications for incoming student, staff and faculty from overseas  name, demographic information, financial information, passport number  legal requirement    for marketing purposes and donations, and to process requests for brochures and other information  name, contact information, financial information, payment information  legitimate interest: to collect and process donations/gifts and donor information, to send brochures or other requested information    to process payments such as tuition and other student fees, parking passes and permits, event registrations and tickets to events  name, campus ad id,Â  ",1
Amazon Pay,,1
Amazon Pay,"some elements of our services (e.g., shop, ticketing, and auctions) require the submission of a payment card number along with personal information in connection with a purchase; other elements of our services (e.g., fantasy baseball) require the submission of personal information to access or use the services.",1
Amazon Pay,"family life will collect payment information, billing address, and other information necessary to process a donation or event registration.",1
Amazon Pay,"all transactions, however, are void where prohibited by law and plex may request particular information in order to confirm the order and method of payment.",1
Amazon Pay,"upon placing an order, you therefore agree to pay using the payment method indicated and grant authorization to plex to charge the applicable (fee) to your payment provider.",1
Amazon Pay,we also use and share payment information with our payment processor partner in order to process your payment for any services you order.,1
Amazon Pay,you may also provide us with your payment information when you sign-up for a paid service.,1
Amazon Pay,the information that we collect and use includes the following kinds of personal information:  first and last name   home address  email address  payment information  photographs containing your image   information from and/or about others.,1
Amazon Pay,"information that you knowingly and willingly provide   fredericksburg today collects information that you knowingly and voluntarily provide when you use our service (such as through web forms or profile screens), including registration/account setup information, profile details, payment information, and ratings information.",1
Amazon Pay,"when you pay for newslit, we ask for your credit card and billing address.",1
Amazon Pay,billing information post alert requests the following billing information to proceed the payment for the service: credit/debit card number; cvc; card expiration date; card owner name; post alert doesn't store or manage this information in any way.,1
Amazon Pay,"for example, you provide your contact information and, in some cases, billing information when you pay for the services.",1
Amazon Pay,"if you sign up for gfycat pro, our processors will also collect your payment information.",1
Amazon Pay,"for example, when you buy an on-demand geofilter and accepted our custom creative tools terms, we need to use some of your information to collect payment and make sure we show your geofilter to the right people at the right place and time.  ",1
Amazon Pay,"we may also collect billing and financial information from you, including credit card and payment information.",1
Amazon Pay,"we process your personal information, in collaboration with service providers acting on our behalf, to pay our taxes or fulfill our other business obligations, and/or to manage risk as required under applicable law.",1
Amazon Pay,"insightly may use personal information about you for its administrative purposes, including to:  measure interest in insightly‚Äôs services;  develop new products and services;  ensure internal quality control;  verify individual identity;  send email to the email address a client provides to us to verify your account and for informational and operational purposes, such as account management, customer service, or system maintenance;  process payment for products or services purchased;  process applications and transactions;  prevent potentially prohibited or illegal activities;  enforce our terms.    ",1
Amazon Pay,"when you register to use our platform, we collect the personal data you provide including your name, email, phone, address, and payment information.",1
Amazon Pay,"in addition, using secure methods, we send your credit card information to our payment processor for storage.  ",1
Amazon Pay,"we store your name and contact information, but we don't store credit card numbers (except with your permission and in one of our secured payment gateways).",1
Amazon Pay,"vmware may also use personal information, including financial, credit card and payment information, to process your transactions.   ",1
Amazon Pay,payment information: we collect certain payment and billing information when you register for certain paid services.¬† ,1
Amazon Pay,"in addition, customers provide geekbot (or its payment processors) with billing details such as credit card information, banking information and/or a billing address and/or email address.  ",1
Amazon Pay,"it also may include payment information, such as payment method, credit card information, and any contact information (such as name and postal address) associated with payment billing information.",1
Amazon Pay,payment information we collect certain payment and billing information when you register for certain paid services.  ,1
Amazon Pay,payment information: we collect payment and billing information when you register for certain paid services.¬† ,1
Amazon Pay,"we use billing data for our legitimate business interests: to process or collect payment for your transactions with us, keep a record of our dealings with you, and prevent fraud.",1
Amazon Pay,"We collect payment information such as credit card details, bank details, etc.   ",1
Amazon Pay,payment data : we collect certain payment and billing information when you register for paid services.,1
Amazon Pay,"and may include, first and last name, billing information, a password and a valid email address.",1
Amazon Pay,personal information includes navigational information or payment information where such information can directly or indirectly identify an individual.   ,1
Amazon Pay,payment information: we collect certain payment and billing information when you register for certain paid services.,1
Amazon Pay,"in the normal course of business, delighted collects personal data such as contact information (e.g. name, address, phone number, e-mail address, and employer) and payment details for customers.",1
Amazon Pay,"if you purchase services or products from us, we will also collect payment account and other financial information.",1
Amazon Pay,all payment information is handled only by pci compliant organizations.,1
Amazon Pay,"if you decide to order products or services from us, you may also be required to provide us with payment information such as your credit card number, expiration date and verification codes or related information.",1
Amazon Pay,"mural will collect billing and payment information which may include your credit card number, billing address, and other payment related information ("" billing information "").",1
Amazon Pay,"if you are registering for a paid account you will also be required to provide payment information, such as payment card details (collected by our payment service provider), and single sign on (sso) saml 2.0 credentials.¬† ",1
Amazon Pay,"for billing purposes, we also collect and process the payment data of the user after registration, for instance bank details provided by him or any other payment and invoice data.
        ",1
Amazon Pay,"your payment and transaction data is stored through shopify‚Äôs data storage, databases, and web application.  ",1
Amazon Pay,"if you purchase a premium version of tettra, our third party payment processors will collect and store your billing address and credit card information.",1
Amazon Pay,payment information: we collect certain payment and billing information when you register for certain paid services.  ,1
Amazon Pay,"for example, through the registration process and/or through your account settings, we may collect personal data such as your name, email address, and payment information.",1
Amazon Pay,billing information presence requests the following billing information to proceed the payment for the service: - credit/debit card number; - cvc; - card expiration date; - card owner name;  presence ¬†doesn't store or manage this information in any way.,1
Amazon Pay,"if you are registering for a service that requires payment, we will also collect payment information, including (i) your name as it appears on the card; (ii) the credit card type; (iii)",1
Amazon Pay,"to make a purchase, you may need to provide a valid payment method (e.g., credit card or paypal account).",1
Amazon Pay,we (and/or our third-party vendors) use your financial information to process purchases made by you and to pay you amounts you have earned.  ,1
Amazon Pay,"we may ask for personal information, such as your:   name  email  payment information   business data  business data refers to data that accumulates over the normal course of operation on our platform.",1
Amazon Pay,"you may provide certain personally identifiable information (such as your phone number, e-mail address, credit card or other payment information, etc.)",1
Amazon Pay,"we collect, and associate with your account, information like your name, email address, phone number, payment info, physical address, and account activity.",1
Amazon Pay,"when a customer pays for products, we collect contact and payment data to process the payment.",1
Amazon Pay,"although you may provide certain personally identifiable information (such as your phone number, e-mail address, credit card or other payment information, etc.)",1
Amazon Pay,"if you purchase a product or service through the services, our third party payment processors will collect the billing and financial information they need to process your charges.",1
Amazon Pay,"if you are accessing third-party products and services that we have made available to you via the services, we may collect your name, email address, city, fitness preferences, payment information, and more, in connection with your registration for and access to those products and services.",1
Amazon Pay,"this includes samsung account information and samsung pay usage data, device information, location information (i.e., where you are when you register your card) if location settings are enabled, and card information and billing address, which is sent to your card issuer, passing through our servers.",1
Amazon Pay,"payment information if you make a purchase in our services, such as a license to use in-game virtual currency or virtual items in a game you play, our third party payment processor will collect the billing and financial information to process your charges.",1
Amazon Pay,Amazon pay,1
Amazon Pay,"financial data, including bank or payment card details (for example, if you make a donation).",1
Amazon Pay,"such information may include a debit card number, credit card number, expiration date, billing address, activation codes, and similar information.",1
Amazon Pay,"for online transactions, we also request your credit card  number, expiration date, and may request your card security code [csc, cvv2, or  ccid] number.",1
Amazon Pay,"for example, we may collect your credit card number and billing address.",1
Amazon Pay,"details collected includes the credit card number, expiry date, and billing address.",1
Amazon Pay,"we  ask for personal or private information like names, email addresses, or credit card numbers.",0.82566748
Amazon Pay,"users may be asked for, as appropriate, name, email address, mailing address, phone number, credit card information.",0.831099087
Amazon Pay,we work with amazon pay,
Device Address,"personal information collect, use, disclosure and consent  personal information may include your name, age, home address, phone number, marital status, income, credit history, medical information, education, employment information and social registration numbers.",0.831099087
Device Address,"when you make a donation, amazon pay will process the donation using your default amazon payment settings and will share your name, address, and email with the charity.",0.831099087
Device Address,this address will be stored in the system for the purpose of account linking.,0.831099087
Device Address,"we collect your  address or mobile phone number in order to: send information, respond to inquiries, and/or other requests or questions process orders and to send information and updates pertaining to orders.",0.831099087
Device Address,"like other businesses, we share contact information (such as name and  address) with vendors who process credit card transactions, with business partners who co-sponsor cbs local services, and when we have consent from our users.",0.831099087
Device Address,,0.831099087
Device Address,"we want you to recognize and understand that there is no obligation on you to provide us with your name,  address or any of your personal information; and that you share your personal information with us solely by your own choice.",0.831099087
Device Address,"when you contract with us for a particular service, we will ask you to provide us with your name,  address, and a contact phone number.",0.831099087
Device Address,"upon your direct, personalÂ request, we will provide you with the current information (e.g., Â address, name, etc.)",0.831099087
Device Address,we also receive your  address from other service users when they provide it in order to invite you to the services.,0.831099087
Device Address,"data we gather information you have provided us with this might be your e-mail address, name, billing address, home address etc â€“ mainly information that is necessary for delivering you a product/service or to enhance your customer experience with us.",0.831099087
Device Address,"transaction information : payment information such as your credit/debit card details, purchase history, delivery address and other information related to your transaction.",0.831099087
Device Address,"we may, from time to time, share your name, your postal mailing address and your  address with a few carefully selected third-party marketing partners that we believe offer products or services that may be of interest to you.",0.831099087
Device Address,"2.1.1 this includes information you may give us so we can provide you with access to the platform or services and may include your name, address, street address, phone number and other information necessary to use the platform or services.",0.831099087
Device Address,"if you choose to open an account with us, register for our products and services, sign up for our newsletter, request support, or in any other way take steps that require the submission of information; we may collect information such as your name, physical address, date of birth, location, gender and/or phone number.",0.831099087
Device Address,"types of personal information includes:  your name  your postal address,  your phone (or mobile)",0.831099087
Device Address,"when you request modification to your data, you must provide us with all relevant existing data (name, address, etc), along with the specific modifications, necessary to identify you and make the changes you request.",0.831099087
Device Address,"for example, if your facebook privacy settings are set to allow it, they will provide us with your public profile which includes your name, profile picture, address, age range, gender, language spoken and gender.",0.831099087
Device Address,"but it is likely to include your name, address, phone number, email address, user name, password, age, gender, date of birth (if appropriate), competition and survey answers and any comments you have chosen to provide.",0.831099087
Device Address,your address                           ,0.831099087
Device Address,"if you wish to register on any of our digital services you agree to provide accurate, current and complete personal data and information about yourself (such as name, age, address, etc.)",0.831099087
Device Address,"certain features of our digital services will require you to register by providing your personal information, such as your name, address, mailing address, or other information.",0.831099087
Device Address,"and may include, first and last name, billing information, a password and a valid email address.",0.831099087
Device Address,"our digital tools offer different options for you to access, change, and modify the information you previously provided, such as your donor or customer record (for registered users only), email address, postal address, or to stop a duplicate email.",0.831099087
Device Address,"when you purchase something from our store, as part of the buying and selling process, we collect the personal information you give us such as your name, address and email address.",0.831099087
Device Address,"tuition insurance quoting application â€“ studentâ€™s information (name, email address, address, college / university, on/off campus housing, class standing), parent / guardian / tuition payer (name, email address, mailing address, phone number, payment information), coverage information, discount eligibility information, and consumer reporting information.",0.831099087
Device Address,"ebilling - name, address, phone number, email address, banking information, credit card number if provided.",0.831099087
Device Address,"liberty mutual rewards - name, mailing address, email address, gender, customer status.",0.831099087
Device Address,"we may also ask for first and last names, and sometimes postal address to verify your identity.",0.831099087
Device Address,"for example, we may share personal information including email address or mailing address with fulfillment houses and other service providers to allow delivery of prizes.",0.831099087
Device Address,"the information we collect   as used in this privacy policy, ""personal information"" means any information that is linked to your identity such as your name, address, phone number (including mobile), birth day/month, demographic and geographic information, transaction information (including payment card and billing information),",0.831099087
Device Address,"users may be asked for, as appropriate, name, email address, mailing address, phone number, credit card information.",0.831099087
Device Address,"we will collect certain contact information including your name, mailing address and phone numbers.",0.831099087
Device Address,"such information may include a debit card number, credit card number, expiration date, billing address, activation codes, and similar information.",0.831099087
Device Address,"when you sign up to receive any of our newsletters, respond to a survey, register for a class, or purchase any product or service, you may be required to provide us with personal information about yourself, such as your name, address, email address, and phone number.",0.831099087
Device Address,"we may collect the following information:  your contact details including your name, email address, employer details, mailing address, phone number and mobile phoneÂ number;  your country ofÂ residence;  your, event attendee details (whereÂ applicable);  your financial information, such as your bank account or credit card details, for any product purchases and or donations;Â and any other personal information you provide to us in relation to theÂ products or services.",0.831099087
Device Address,"we may collect the names,  addresses, postal addresses and city of residence of individuals from third parties to market our products / services to these individuals.",1
Device Address,"the types of personal information we may collect directly from you include email addresses, postal addresses, phone numbers, employee names, usernames, information about the type of service required, marketing preferences, job titles, credit card payment information, transactional information (including services purchased), as well as any communications, inquiries, contact or other information you choose to provide during your use of the services.",1
Device Address,"we remove personally identifiable information (such as your name, address, email or phone number) and other preferences associated with your account promptly after you delete your account.",0.831099087
Device Address,"we also may collect personally identifiable information that you provide to us, such as your name, address, phone number or email address.",0.831099087
Device Address,"other information we collect if you choose to identify yourself (or otherwise provide us with personal information) when you use our online forms: we will collect (and may retain) any personally identifying information, such as your name, street address, email address, and phone number, and any other information you provide.",1
Device Address,"personal information this is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by google, such as information we associate with your google account.",0.831099087
Device Address,"your name, your employerâ€™s name, your work address (including your country location), and your email address.",0.831099087
Device Address,"to purchase products or use certain vinli services, you are required to give us certain contact information and personal data (e.g., your full name, physical address, email address, etc.).",0.831099087
Device Address,"b)  when using this application web service for online transactions, you will inevitably disclose your personal information, s uch as contact information or postal address, to the counterparty or potential counterparty.",0.831099087
Device Address,"this may include your name, address, phone number, email address and payment details.",0.831099087
Device Address,"user information & usage for accessing or using our service, you may be required to provide certain information such as name, address, occupation, nationality, credit/debit card details, email, contact number, etc.all information, disclosed by you shall be deemed to be disclosed willingly and without any coercion.",0.831099087
Device Address,"at the time of submission, the producers of these shows will also ask the users to include a contact number, email or address.",0.831099087
Device Address,"on the online entry form, we ask for personal information such as the entrantâ€™s name and address.",0.831099087
Device Address,"the information you give us may include your name, address, street address and phone number, and other information that you voluntarily provide.",0.831099087
Device Address,"collection of information  we collect personally identifiable information, like names, postal addresses, email addresses, etc., when voluntarily submitted by our visitors.",1
Device Address,"for purchases, payment information, including credit/debit card number/bank details and billing addresses are also collected.",1
Device Address,"for example, we collect the device addresses and additional contact details of those who send devices to request information.",1
Device Address,"we provide your email address, mobile number and address, to facebook",0.831099087
Device Address,"contact data, including your email address, postal address, and phone number (for example, if you sign up to receive updates from us).",0.831099087
Device Address,"includes name, address, phone, school, etc.",0.831099087
Device Address,"from time to time, we allow companies whose products or services we feel may interest our readers to advertise to them, using the names and addresses provided to us during the process of subscribing.",1
Device Address,"in these circumstances, we may ask you to provide information such as your name, device address, year of birth, gender, street address, employment information, or other demographic information.",1
Device Address,"if you choose to pay a fee to us to unlock features of the voice app, we may receive your name, email address, geographical address.",0.831099087
Device Address,"however, you may be offered the opportunity to provide us with a name, email address, geographical address and payment details.",0.831099087
Device Address,"your name, address, phone number and device address.",0.831099087
Device Address,"financial information â€“ tracfone collects credit card information, including account number, card holder name and address for payment of products and services purchased by customers.",0.831099087
Device Address,"you may provide certain personal information, such as your first and last name, the country you live in, paypal address/id, physical address and email address.",0.831099087
Device Address,"additionally, pinterest also states that it collects user location data from mobile devices, and if someone makes a purchase on pinterest, payment and contact information â€“ including an address and phone number â€“ will be collected.",0.831099087
Device Address,"personal information about an individual may include the following:   name, address  ",0.831099087
Device Address,"we will never store your name, address, or other unspecified data in our database.",0.831099087
Device Address,"for example, this may include the name and address of your employer and your employment history.",0.831099087
Device Address,"for example, we may collect your credit card number and billing address.",0.831099087
Device Address,"for example, you may need to provide the following  information:  name mailing  address device  address credit  card number home  and business phone number device  information  in  addition to providing the foregoing information to our partners, if you choose  to correspond further with us through device, we may retain the content of your  device messages together with your device address and our responses.",0.831099087
Device Address,"your device address, or request that you enter a postal code",
Device Address,the term â€œdirectory informationâ€ at north idaho college is defined as including:   studentâ€™s name  studentâ€™s address  studentâ€™s phone number  email address  dates of attendance  freshman/sophomore classification  ,0.831099087
Device Address,Wheezy breezy uses your full address based on information provided within the alexa app,
Device Address,"these records may contain a student's name, social security number, student id number, address, or any other piece to information that could be considered ""personally identifiable.""",0.831099087
Device Address,"we may need to process information in order to supply you with details or information youâ€™ve requested â€“ for example if you ask us to send you a prospectus, weâ€™ll need personal information such as your name, address and which prospectus youâ€™d like us to send.",0.831099087
Device Address,"we collect your first and last name, device address, postal address, phone number, and other similar contact data.",0.831099087
Device Address,"the information we collect includes information that identifies you personally (whether alone or in combination), such as a name, phone number, home address or email address.",0.831099087
Device Address,"during registration or when you initiate a transaction, if applicable, we may ask for your name, email address, mailing and billing addresses, phone number, bank account information and credit card information.",0.831099087
Device Address,"the personally identifiable information which you may provide to us could include your name, address, and device address and other such identifying information.",0.831099087
Device Address,"first and last name  email address  mailing address  location information  user content, for example, your account information, personal preferences, and personal shopping preferences that you provide through chat experiences or otherwise.",0.831099087
Device Address,first and last name  email address  mailing address  ,0.831099087
Device Address,"depending on the services that you use, and your app settings or device permissions, we may collect your precise or approximate location information as determined through data such as device address and gps location.",0.831099087
Device Address,"you can also access and edit your account information under my account page, including your name, email address,      postal address, and phone number.",0.831099087
Device Address,"this includes information      like your name, email address, mailing address, phone number, full date of birth, credit card number, geographic      location, etc.",0.831099087
Device Address,"this information includes things such name, address and email address.",0.831099087
Device Address,"we may collect the following information:   full name and address  contact information including email address and mobile phone number  contact information of others you add to your account with required opt-in  other information relevant to customer surveys, our products",0.831099087
Device Address,you will need to give our apps permission so that we can read and write files or have access to your home address for the home value skill.,0.831099087
Device Address,"payment data , such as credit card information and billing address.",0.831099087
Device Address,"residential addresses, business names, business addresses, sales leads, contact information for third parties that may include individualsâ€™ names, phone numbers, addresses, email addresses, which some of this information may contain personal information.",1
Device Address,"personal information you submit, such as your name, address and other contact information, may be collected by us for internal marketing and development purposes as well as to respond to your inquiry, complete a transaction for you, or fulfill other forms of customer service.",0.831099087
Device Address,"name, address, contact details, race/ethnicity, demographic information, educational history, reference, photographs, letters, peoplesoft id, and other relevant information as part of the application package.",0.831099087
Device Address,"requests should be made in writing and to ensure that personal data is dealt with carefully and confidentially we will require the requestor to provide verification of their identity and all applications must be accompanied by copies of at least two official documents, which show your name, date of birth and current address (for example, driving licence, birth/ adoption certificate, passport, recent utility bill).",0.831099087
Device Address,"family life will collect payment information, billing address, and other information necessary to process a donation or event registration.",0.831099087
Device Address,"examples of that information:   name, address, phone number, email address  giving information  information on events attended, publications received, and special requests for program information  information provided by the donor in the form of comments",0.831099087
Device Address,"customer data that includes data relating to any purchases of goods and/or services such as your name, title, billing address, delivery address email address, phone number, contact details, purchase details and your card details.",0.831099087
Device Address,"this includes the credit card number, expiry date, and billing address.",0.831099087
Device Address,the information that we collect and use includes the following kinds of personal information:  first and last name   home address  email address  payment information  photographs containing your image   information from and/or about others.,0.831099087
Device Address,"you can read the full details of our privacy policy below but the following is a quick summary: we only collect personal information that we require for the business purposes of commercial radio australia, such as events, research, marketing, products (including product development) and services (both our own and those of other companies that may be of interest to you); we may collect your name, address, email, phone number, location, other contact details, age, date of birth, gender, photographs/film/audio of you (where you attend a cra affiliated event), your interests and opinions about our brands and services, information related to promotions and activities that cra runs, such as competition entries, job applications, complaints and enquiries.",0.831099087
